airport,year,international_passengers,domestic_passengers,international_flights,domestic_flights
Ben Gurion,2004,7664262,387633,59190,7448
Ben Gurion,2005,8506584,410837,62303,7836
Ben Gurion,2006,8816597,404961,67766,8969
Ben Gurion,2007,10109793,416769,74459,10109
Ben Gurion,2008,11081213,469220,82649,11995
Ben Gurion,2009,10506531,445854,81703,7741
Ben Gurion,2010,11485509,674830,86229,8942
Eilat,2004,20717,987167,782,18115
Eilat,2005,21960,1027015,903,17874
Eilat,2006,19225,1006520,780,17892
Eilat,2007,20524,1088926,853,19166
Eilat,2008,22442,1068264,872,17662
Eilat,2009,19333,1056614,631,16720
Eilat,2010,7113,1293251,229,18364
Haifa,2004,1518,69313,335,15890
Haifa,2005,530,60804,230,12852
Haifa,2006,399,51989,143,12471
Haifa,2007,559,64992,194,13337
Haifa,2008,657,64152,234,13403
Haifa,2009,2128,48549,481,8233
Haifa,2010,3659,79472,632,12970
Sde Dov,2004,2916,663963,862,
Sde Dov,2005,4556,658395,1238,33449
Sde Dov,2006,4349,624539,1159,30799
Sde Dov,2007,5875,697774,1436,34991
Sde Dov,2008,6132,640657,1422,33266
Sde Dov,2009,3543,658287,907,30979
Sde Dov,2010,3653,652119,1005,31985